opcode_1,opcode_2
BW_AND,QM_ASSIGN
BW_AND,RETURN
BW_AND,SEND_FUNC_ARG
BW_AND,SEND_VAL
BW_AND,SEND_VAL_EX
BW_AND,SEND_VAR_EX
BW_AND,SL
BW_AND,SR
BW_AND,SUB
BW_AND,SWITCH_LONG
BW_AND,SWITCH_STRING
BW_NOT,ASSIGN
BW_NOT,ASSIGN_OBJ_OP
BW_NOT,ASSIGN_OP
BW_NOT,BOOL
BW_NOT,BW_AND
BW_NOT,BW_NOT
BW_NOT,BW_OR
BW_NOT,BW_XOR
BW_NOT,COALESCE
BW_NOT,CONCAT
BW_NOT,ECHO
BW_NOT,FETCH_CONSTANT
BW_NOT,FETCH_DIM_R
BW_NOT,FETCH_FUNC_ARG
BW_NOT,FREE
BW_NOT,IS_IDENTICAL
BW_NOT,MUL
BW_NOT,QM_ASSIGN
BW_NOT,RETURN
BW_NOT,SEND_VAL
BW_NOT,SEND_VAL_EX
BW_OR,ADD
BW_OR,ASSIGN
BW_OR,ASSIGN_DIM
BW_OR,ASSIGN_OBJ
BW_OR,ASSIGN_OP
BW_OR,BEGIN_SILENCE
BW_OR,BOOL
BW_OR,BW_AND
BW_OR,BW_NOT
BW_OR,BW_OR
BW_OR,BW_XOR
BW_OR,CAST
BW_OR,CHECK_FUNC_ARG
BW_OR,CONCAT
BW_OR,FETCH_CONSTANT
BW_OR,FETCH_DIM_R
BW_OR,FETCH_OBJ_W
BW_OR,FETCH_R
BW_OR,FETCH_W
BW_OR,FREE
BW_OR,INIT_ARRAY
BW_OR,INIT_FCALL
BW_OR,IS_IDENTICAL
BW_OR,JMPZ
BW_OR,MUL
BW_OR,OP_DATA
BW_OR,QM_ASSIGN
BW_OR,RETURN
BW_OR,SEND_VAL
BW_OR,SEND_VAL_EX
BW_OR,SL
BW_OR,SR
BW_XOR,ADD
BW_XOR,ASSIGN
BW_XOR,ASSIGN_DIM
BW_XOR,ASSIGN_DIM_OP
BW_XOR,ASSIGN_OP
BW_XOR,BOOL
BW_XOR,BW_AND
BW_XOR,BW_OR
BW_XOR,BW_XOR
BW_XOR,CAST
BW_XOR,CHECK_FUNC_ARG
BW_XOR,CONCAT
BW_XOR,ECHO
BW_XOR,FETCH_CONSTANT
BW_XOR,FETCH_DIM_R
BW_XOR,FETCH_DIM_W
BW_XOR,FETCH_OBJ_R
BW_XOR,FETCH_OBJ_W
BW_XOR,FETCH_R
BW_XOR,FETCH_RW
BW_XOR,FETCH_W
BW_XOR,INCLUDE_OR_EVAL
BW_XOR,INIT_ARRAY
BW_XOR,INIT_FCALL
BW_XOR,IS_EQUAL
BW_XOR,JMPZ
BW_XOR,JMPZ_EX
BW_XOR,MOD
BW_XOR,MUL
BW_XOR,NOP
BW_XOR,PRE_INC
BW_XOR,RETURN
BW_XOR,SEND_FUNC_ARG
BW_XOR,SEND_VAL
BW_XOR,SEND_VAL_EX
BW_XOR,SEND_VAR_EX
BW_XOR,SR
BW_XOR,STRLEN
BW_XOR,SUB
CASE,JMPNZ
CAST,ADD
CAST,ASSIGN
CAST,ASSIGN_DIM
CAST,ASSIGN_DIM_OP
CAST,ASSIGN_OBJ
CAST,ASSIGN_OBJ_OP
CAST,ASSIGN_OP
CAST,BEGIN_SILENCE
CAST,BOOL
CAST,BOOL_NOT
CAST,BW_AND
CAST,BW_XOR
CAST,CASE
CAST,CAST
CAST,CHECK_FUNC_ARG
CAST,CONCAT
CAST,COUNT
CAST,DIV
CAST,DO_FCALL
CAST,ECHO
CAST,END_SILENCE
CAST,FAST_CONCAT
CAST,FETCH_CONSTANT
CAST,FETCH_DIM_IS
CAST,FETCH_DIM_R
CAST,FETCH_DIM_W
CAST,FETCH_FUNC_ARG
CAST,FETCH_OBJ_IS
CAST,FETCH_OBJ_R
CAST,FETCH_OBJ_UNSET
CAST,FETCH_OBJ_W
CAST,FETCH_R
CAST,FETCH_RW
CAST,FETCH_W
CAST,FE_FREE
CAST,FE_RESET_R
CAST,FREE
CAST,INCLUDE_OR_EVAL
CAST,INIT_ARRAY
CAST,INIT_FCALL
CAST,IS_EQUAL
CAST,IS_IDENTICAL
CAST,IS_NOT_EQUAL
CAST,IS_SMALLER
CAST,JMPNZ_EX
CAST,JMPZ
CAST,JMPZ_EX
CAST,JMP_FRAMELESS
CAST,JMP_SET
CAST,MOD
CAST,MUL
CAST,NEW
CAST,NOP
CAST,OP_DATA
CAST,POST_INC_OBJ
CAST,QM_ASSIGN
CAST,RETURN
CAST,ROPE_ADD
CAST,ROPE_END
CAST,ROPE_INIT
