ngram,idf
ASSIGN_OP ECHO,5.213734493264787
ASSIGN_OP END_SILENCE,8.189922170745808
ASSIGN_OP FAST_CALL,10.93076219467101
ASSIGN_OP FETCH_CLASS,10.93076219467101
ASSIGN_OP FETCH_CONSTANT,6.979518476089582
ASSIGN_OP FETCH_DIM_IS,9.426684797894735
ASSIGN_OP FETCH_DIM_R,5.054427954816658
ASSIGN_OP FETCH_DIM_UNSET,7.241882740557073
ASSIGN_OP FETCH_DIM_W,8.851320652991173
ASSIGN_OP FETCH_IS,5.985554705897208
ASSIGN_OP FETCH_OBJ_IS,8.44585554488301
ASSIGN_OP FETCH_OBJ_R,5.419351612662264
ASSIGN_OP FETCH_OBJ_RW,10.237615014111064
ASSIGN_OP FETCH_OBJ_UNSET,10.525297086562844
ASSIGN_OP FETCH_OBJ_W,6.230281828878592
ASSIGN_OP FETCH_R,5.441824468514322
ASSIGN_OP FETCH_RW,6.726069575280043
ASSIGN_OP FETCH_THIS,9.226014102432584
ASSIGN_OP FETCH_W,7.267200548541362
ASSIGN_OP FE_FREE,10.93076219467101
ASSIGN_OP FE_RESET_R,5.6424951639764735
ASSIGN_OP FREE,6.574053367981417
ASSIGN_OP GET_CLASS,10.525297086562844
ASSIGN_OP INCLUDE_OR_EVAL,9.139002725442953
ASSIGN_OP INIT_ARRAY,6.861735440433198
ASSIGN_OP INIT_FCALL,4.145174549663079
ASSIGN_OP INSTANCEOF,9.139002725442953
ASSIGN_OP IN_ARRAY,10.014471462796854
ASSIGN_OP IS_EQUAL,5.77170689545648
ASSIGN_OP IS_IDENTICAL,7.9863232155045685
ASSIGN_OP IS_NOT_EQUAL,6.055564871469858
ASSIGN_OP IS_SMALLER,5.748978644378924
ASSIGN_OP JMP,3.7173621428629184
ASSIGN_OP JMPNZ,6.661064744971047
ASSIGN_OP JMPNZ_EX,7.910337308526646
ASSIGN_OP JMPZ,4.754894924565248
ASSIGN_OP JMPZ_EX,6.64717563281038
ASSIGN_OP JMP_FRAMELESS,7.711886369802808
ASSIGN_OP MOD,8.628177101676963
ASSIGN_OP MUL,8.628177101676963
ASSIGN_OP NEW,7.563466364684535
ASSIGN_OP NOP,6.286371295529636
ASSIGN_OP OP_DATA,6.216737603770835
ASSIGN_OP POST_DEC,8.628177101676963
ASSIGN_OP POST_INC,8.915859174128745
ASSIGN_OP PRE_DEC,5.833949204333701
ASSIGN_OP PRE_DEC_OBJ,10.014471462796854
ASSIGN_OP PRE_INC,4.076407692415987
ASSIGN_OP PRE_INC_OBJ,9.426684797894735
ASSIGN_OP QM_ASSIGN,8.365812837209472
ASSIGN_OP RETURN,4.236200136149913
ASSIGN_OP ROPE_INIT,5.364327911166031
ASSIGN_OP SEND_VAL,9.058960017769417
ASSIGN_OP SEND_VAL_EX,5.2695393344336035
ASSIGN_OP SEND_VAR,8.291704865055749
ASSIGN_OP SEND_VAR_EX,4.834937632238784
ASSIGN_OP SL,8.01299146258673
ASSIGN_OP SR,7.375414133181595
ASSIGN_OP STRLEN,4.997191625981929
ASSIGN_OP SUB,7.254461522763933
ASSIGN_OP SWITCH_LONG,9.544467833551119
ASSIGN_OP SWITCH_STRING,8.679470396064513
ASSIGN_OP TYPE_CHECK,6.878977246867704
ASSIGN_OP UNSET_CV,8.25661354524448
ASSIGN_OP UNSET_DIM,8.915859174128745
ASSIGN_OP UNSET_OBJ,10.93076219467101
ASSIGN_REF ASSIGN,7.5985576844958045
ASSIGN_REF ASSIGN_DIM,9.226014102432584
ASSIGN_REF ASSIGN_OBJ,10.014471462796854
ASSIGN_REF ASSIGN_OP,10.525297086562844
ASSIGN_REF ASSIGN_REF,9.544467833551119
ASSIGN_REF BEGIN_SILENCE,6.371635947184324
ASSIGN_REF BIND_GLOBAL,7.347243256214899
ASSIGN_REF BIND_LEXICAL,10.525297086562844
ASSIGN_REF BOOL_NOT,8.097548850614793
ASSIGN_REF CAST,10.237615014111064
ASSIGN_REF CHECK_FUNC_ARG,8.628177101676963
ASSIGN_REF CONCAT,8.984852045615696
ASSIGN_REF COUNT,8.984852045615696
ASSIGN_REF DO_FCALL,7.862709259537391
ASSIGN_REF FETCH_CONSTANT,7.9863232155045685
ASSIGN_REF FETCH_DIM_R,7.752708364323063
ASSIGN_REF FETCH_DIM_W,7.9863232155045685
ASSIGN_REF FETCH_IS,8.915859174128745
ASSIGN_REF FETCH_OBJ_IS,10.525297086562844
ASSIGN_REF FETCH_OBJ_R,7.935029921117017
ASSIGN_REF FETCH_OBJ_UNSET,10.525297086562844
ASSIGN_REF FETCH_OBJ_W,8.44585554488301
ASSIGN_REF FETCH_R,7.229460220558515
ASSIGN_REF FETCH_THIS,10.525297086562844
ASSIGN_REF FETCH_W,6.010781268842884
ASSIGN_REF FE_RESET_R,8.291704865055749
ASSIGN_REF INCLUDE_OR_EVAL,9.426684797894735
ASSIGN_REF INIT_ARRAY,10.93076219467101
ASSIGN_REF INIT_FCALL,7.672665656649527
ASSIGN_REF IS_EQUAL,7.5985576844958045
ASSIGN_REF IS_NOT_EQUAL,10.93076219467101
ASSIGN_REF JMP,6.8447858821194245
ASSIGN_REF JMPNZ,8.01299146258673
ASSIGN_REF JMPNZ_EX,10.93076219467101
ASSIGN_REF JMPZ,8.532866921872639
ASSIGN_REF JMPZ_EX,10.525297086562844
ASSIGN_REF JMP_FRAMELESS,10.237615014111064
ASSIGN_REF NEW,9.832149906002899
ASSIGN_REF OP_DATA,9.677999226175642
ASSIGN_REF PRE_INC,9.544467833551119
ASSIGN_REF RETURN,8.984852045615696
ASSIGN_REF RETURN_BY_REF,10.525297086562844
ASSIGN_REF ROPE_INIT,10.525297086562844
ASSIGN_REF SEND_VAL_EX,8.73353761733479
ASSIGN_REF SEND_VAR,9.677999226175642
ASSIGN_REF SEND_VAR_EX,8.158173472431226
ASSIGN_REF SR,10.93076219467101
ASSIGN_REF STRLEN,9.544467833551119
ASSIGN_REF SUB,10.525297086562844
ASSIGN_REF SWITCH_LONG,10.237615014111064
ASSIGN_REF SWITCH_STRING,10.014471462796854
ASSIGN_REF TYPE_CHECK,8.158173472431226
ASSIGN_REF UNSET_CV,6.0826458300725275
ASSIGN_REF UNSET_DIM,10.93076219467101
BEGIN_SILENCE ADD,8.915859174128745
BEGIN_SILENCE ASSERT_CHECK,8.790696031174738
BEGIN_SILENCE ASSIGN,7.672665656649527
